"Ordem","Código","Fonte","Estado","Evidência","Tipo","Uso","Ficheiro","URL"
"1","SRC-001","Desafio: pagamentos nos táxis azuis e brancos","Integrada","Brief do desafio","Desafio","[""Produto"",""Descoberta""]","2632_LHK-_20Desafios.pdf.pdf","https://app.notion.com/3c514ba90ba681008b23c9a621aeb391"
"2","SRC-002","Workshop: Value Proposition Canvas","Integrada","Material de formação","Formação","[""Descoberta"",""Produto""]","Co_CC_81pia_20de_202618_LHK_20__20Value_20Proposition_20Canvas.pdf.pdf","https://app.notion.com/3c514ba90ba681abb8b5c30888488adb"
"3","SRC-003","Conceito: carteira NFC azul-e-branco","Integrada","Conceito do team","Conceito","[""Produto"",""Negócio"",""Engenharia""]","conceito-carteira-nfc-azul-e-branco.pdf","https://app.notion.com/3c514ba90ba68142a279d121bd5d07f0"
"4","SRC-004","Duplicado do conceito NFC","Duplicada","Duplicado binário","Duplicado","[""Engenharia""]","4eff6380-a21c-469f-951c-ad258e452b35.pdf","https://app.notion.com/3c514ba90ba681f788bfe82bc9996e4c"
"5","SRC-005","Jobs to be Done do dono da viatura","Por validar","Síntese interna","Descoberta","[""Descoberta"",""Produto""]","01_Modelo_Jobs_to_be_Done.docx","https://app.notion.com/3c514ba90ba681c5a859ec37bd99b421"
"6","SRC-006","Árvore de problemas do acerto","Por validar","Síntese interna","Descoberta","[""Descoberta"",""Produto""]","02_Modelo_Arvore_de_Problemas.docx","https://app.notion.com/3c514ba90ba6816e894fd66172d6dd3f"
"7","SRC-007","Persona provisória: dono da viatura","Por validar","Síntese interna","Descoberta","[""Descoberta"",""Produto""]","03_Modelo_Persona_Dono_da_Viatura.docx","https://app.notion.com/3c514ba90ba68185a8ffe5319d50a1b0"
"8","SRC-008","VPC e modelo de negócio do team","Por validar","Síntese interna","Descoberta","[""Descoberta"",""Produto"",""Negócio"",""Impacto""]","04_Value_Proposition_Canvas_e_Modelo_de_Negocios.docx","https://app.notion.com/3c514ba90ba681039c8bc1bd4a925150"
"9","SRC-009","Formação: empreendedorismo social","Integrada","Material de formação","Formação","[""Impacto"",""Descoberta"",""Negócio""]","Empreendedorismo Social.pdf","https://app.notion.com/3c514ba90ba681579c01f7b17557e588"

